år;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
2000;10658;10648;10512;10818;11574;12548;12563;12932;12658;12716;11949;11508;10714;10397;9804;9598;9277;9551;9695;10267;10004;9874;10646;11702;12830;14468;14897;15629;15701;14935;14581;14871;15888;16275;16408;16632;15019;14371;13904;13199;13071;12929;12921;12868;12233;11970;11977;11903;11364;12047;12074;12621;13109;13175;13364;13271;12442;11126;9691;8886;8669;8112;7421;7055;6656;6048;5786;5895;5645;5477;5128;5206;4941;4939;4992;4824;4747;4342;4478;4353;3215;2808;2673;2272;1924;1676;1360;1177;937;695;542;385;290;187;137;79;47;38;20
2001;11134;10567;10567;10499;10788;11555;12516;12522;12915;12634;12729;11942;11577;10752;10449;9878;9692;9344;9723;9881;10426;10338;10321;11257;12417;13605;15109;15313;15982;15976;15139;14730;14932;15938;16298;16397;16593;15005;14304;13843;13216;13026;12883;12890;12831;12207;11905;11934;11887;11328;11995;12048;12496;13015;13048;13246;13139;12277;11005;9551;8741;8502;7972;7267;6875;6495;5899;5635;5722;5494;5299;4943;5026;4775;4732;4795;4579;4476;4103;4163;4052;2951;2538;2406;2039;1701;1460;1143;981;777;544;420;300;203;141;95;49;33;24
2002;11453;11034;10489;10539;10438;10740;11530;12478;12476;12919;12620;12724;11958;11586;10782;10506;9953;9760;9458;9867;9953;10665;10683;10759;11752;12952;13984;15360;15592;16114;16092;15189;14737;14951;15958;16313;16374;16523;14968;14228;13757;13135;12982;12838;12867;12829;12182;11830;11859;11819;11258;11910;11944;12430;12894;12926;13091;12980;12079;10855;9377;8564;8349;7797;7072;6715;6322;5762;5484;5551;5326;5117;4757;4810;4563;4491;4585;4290;4203;3834;3833;3689;2692;2291;2142;1790;1465;1234;930;812;621;417;310;206;155;91;65;30;25
2003;12182;11338;10960;10450;10512;10370;10686;11524;12448;12486;12898;12590;12714;11981;11615;10830;10566;10020;9835;9562;9965;10191;11047;11055;11256;12169;13293;14258;15499;15679;16184;16091;15134;14689;14853;15864;16265;16288;16414;14919;14159;13623;13062;12937;12761;12797;12795;12105;11783;11760;11737;11212;11790;11828;12308;12762;12799;12934;12795;11896;10676;9171;8384;8195;7564;6898;6536;6142;5582;5325;5385;5170;4913;4560;4614;4332;4248;4327;4067;3952;3545;3511;3357;2417;2032;1907;1541;1251;1015;780;656;465;322;241;146;99;59;44;21
2004;12715;12087;11231;10904;10378;10478;10311;10676;11478;12398;12469;12885;12601;12733;12027;11651;10901;10637;10142;9926;9616;10141;10576;11463;11566;11806;12565;13585;14498;15563;15766;16114;15965;15067;14612;14834;15844;16130;16173;16327;14831;14094;13575;13006;12891;12706;12711;12692;12052;11711;11669;11653;11146;11685;11692;12188;12588;12629;12771;12626;11702;10494;8989;8226;7982;7337;6715;6358;5955;5417;5150;5220;5005;4746;4356;4432;4130;4022;4078;3828;3678;3241;3209;3018;2163;1823;1661;1322;1020;834;640;511;373;235;176;98;77;46;28
2005;13138;12636;12008;11170;10877;10390;10441;10312;10654;11465;12426;12490;12904;12633;12770;12096;11709;10963;10753;10180;9979;9850;10627;11090;12158;12270;12436;13071;13906;14748;15764;15838;16181;15976;15062;14603;14836;15801;16070;16132;16274;14811;14052;13527;12966;12850;12654;12675;12649;11953;11649;11605;11573;11062;11601;11561;12045;12480;12451;12589;12400;11498;10330;8804;8053;7813;7156;6522;6199;5796;5256;5009;5033;4814;4555;4182;4228;3934;3788;3814;3564;3398;2966;2906;2689;1924;1562;1411;1088;840;664;501;387;276;163;122;65;56;32
2006;13111;13151;12619;12021;11163;10915;10393;10464;10376;10677;11542;12507;12575;12999;12746;12892;12234;11811;11116;10989;10465;10433;10528;11496;12038;13293;13236;13169;13649;14340;15077;16098;16021;16307;16030;15215;14648;14890;15783;16095;16146;16224;14835;14026;13509;12966;12806;12633;12644;12632;11886;11612;11530;11527;10968;11494;11448;11883;12340;12298;12373;12204;11294;10106;8596;7884;7637;7007;6386;6043;5642;5106;4844;4858;4620;4371;3988;4002;3712;3573;3553;3272;3122;2672;2606;2361;1697;1335;1191;882;679;524;400;291;206;122;85;51;32
2007;13827;13123;13169;12630;12052;11242;10961;10455;10529;10470;10766;11623;12581;12663;13101;12936;13091;12410;11991;11336;11271;10995;11189;11427;12519;13164;14342;14081;13802;14222;14771;15341;16340;16176;16439;16137;15262;14690;14918;15796;16163;16162;16241;14825;14031;13527;12963;12814;12639;12631;12593;11847;11572;11477;11436;10880;11407;11329;11742;12220;12130;12170;11975;11073;9885;8427;7710;7443;6869;6243;5854;5491;4968;4712;4684;4443;4176;3790;3800;3491;3332;3288;3029;2827;2404;2327;2050;1467;1129;993;716;518;392;288;208;137;91;53;29
2008;14234;13826;13154;13205;12665;12073;11322;11023;10526;10599;10549;10838;11704;12690;12769;13236;13112;13216;12516;12103;11528;11680;11575;12014;12361;13472;14146;15107;14693;14321;14599;15138;15519;16512;16338;16558;16099;15329;14794;14961;15817;16183;16169;16249;14837;14019;13487;12973;12793;12621;12626;12540;11829;11489;11427;11353;10777;11314;11201;11602;12063;11944;11979;11762;10848;9676;8269;7555;7277;6716;6088;5723;5339;4825;4545;4483;4262;3988;3602;3589;3244;3121;3035;2773;2567;2124;2034;1756;1238;945;820;553;399;285;200;140;91;64;38
2009;14473;14332;13909;13190;13258;12706;12164;11398;11153;10611;10723;10647;10967;11817;12824;12987;13395;13258;13323;12717;12299;11997;12407;12500;12981;13415;14388;14898;15800;15210;14748;14973;15457;15754;16743;16485;16710;16224;15486;14917;15060;15858;16223;16192;16256;14898;14030;13524;13012;12810;12628;12626;12489;11834;11472;11390;11306;10706;11250;11112;11461;11893;11774;11848;11557;10668;9506;8112;7426;7126;6595;5919;5568;5184;4663;4388;4307;4092;3807;3402;3391;3033;2899;2769;2510;2294;1862;1775;1489;1025;780;666;417;293;212;136;100;61;39
